course_id,title,lecturer,group,room,preferred_time
K1,Künstliche Intelligenz,Prof. Dr. Jürgen Schneider,WI3,R2,Morning
K2,Betriebssysteme,Prof. Dr. Klaus Birk,INF3,R15,Afternoon
K3,Supply Chain Management,Prof. Dr. Klaus Birk,WI5,R17,Afternoon
K4,Wirtschaftsinformatik,Prof. Dr. Klaus Birk,AI5,R6,Afternoon
K5,Diskrete Mathematik,Prof. Dr. Ernst Deuer,AI3,R8,Afternoon
K6,Supply Chain Management,Prof. Dr. Jürgen Schneider,WI3,R8,Afternoon
K7,Diskrete Mathematik,Prof. Dr. Simon Ottler,AI2,R10,Morning
K8,Web-Engineering,Prof. Dr. Sven Döring,WI1,R18,Morning
K9,Rechnernetze,Prof. Dr. Thomas Mannchen,INF4,R13,Morning
K10,User Experience Design,Prof. Dr.-Ing. Florian Leitner-Fischer,INF2,R14,Afternoon
K11,Kosten- und Leistungsrechnung,Prof. Stefan Luppold,WI3,R14,Morning
K12,Maschinelles Lernen,Prof. Herbert Moser,WI2,R19,Morning
K13,Supply Chain Management,Prof. Dr.-Ing. Andreas Judt,WI3,R1,Afternoon
K14,Projektmanagement,Prof. Dr.-Ing. Andreas Judt,AI4,R14,Morning
K15,E-Business,Prof. Dr. Stephan Daurer,INF5,R14,Afternoon
K16,Algorithmen und Datenstrukturen,Prof. Dr.-Ing. Andreas Judt,WI1,R13,Morning
K17,Diskrete Mathematik,Prof. Dr. Thomas Mannchen,WI5,R18,Morning
K18,Statistik,Prof. Dr.-Ing. Robert Watty,INF2,R14,Morning
K19,Diskrete Mathematik,Prof. Dr. Jürgen Brath,INF1,R9,Afternoon
K20,Kosten- und Leistungsrechnung,Prof. Dr.-Ing. Florian Leitner-Fischer,WI3,R11,Afternoon
K21,Supply Chain Management,Prof. Dr.-Ing. Andreas Judt,INF5,R14,Afternoon
K22,Software Engineering,Prof. Dr. Markus Rathgeb,INF1,R18,Morning
K23,Marketing Grundlagen,Prof. Dr. Stephan Daurer,AI1,R3,Morning
K24,Supply Chain Management,Prof. Dr.-Ing. Robert Watty,INF4,R7,Morning
K25,Signalverarbeitung,Prof. Dr. Thomas Mannchen,INF4,R5,Afternoon
K26,Datenanalyse,Prof. Dr. Konrad Reif,WI5,R7,Afternoon
K27,User Experience Design,Prof. Dr. Ernst Deuer,AI3,R12,Morning
K28,Signalverarbeitung,Prof. Dr. Konrad Reif,AI3,R6,Afternoon
K29,Betriebssysteme,Prof. Dr.-Ing. Robert Watty,AI5,R10,Afternoon
K30,Statistik,Prof. Dr.-Ing. Florian Leitner-Fischer,INF2,R19,Morning
K31,Betriebssysteme,Prof. Dr. Joachim Güntzel,AI4,R20,Morning
K32,Embedded Systems,Prof. Dr. Heinz-Leo Dudek,WI1,R18,Afternoon
K33,Datenanalyse,Prof. Dr. Bernd Rieger,INF2,R17,Afternoon
K34,Algorithmen und Datenstrukturen,Prof. Herbert Moser,AI4,R16,Morning
K35,Lineare Algebra,Prof. Dr. Bernd Rieger,AI1,R15,Morning
K36,Lineare Algebra,Prof. Dr. Jürgen Brath,AI2,R17,Afternoon
K37,Signalverarbeitung,Prof. Stefan Luppold,AI3,R16,Afternoon
K38,Lineare Algebra,Prof. Dr. Ernst Deuer,WI1,R8,Morning
K39,Web-Engineering,Prof. Dr. Klaus Birk,INF4,R15,Afternoon
